NomeCerto	NomePesquisado	RegistrosPesquisados	RegistrosRelevantes	Porcentagem
HORATIO	ORACIO	0	0	0
HORATIO	ORACIO	26	26	100
HORATIO	ORACIO	52	52	100
HORATIO	ORACIO	78	75	96.2
HORATIO	ORACIO	104	100	96.2
HORATIO	ORACIO	131	111	84.7
HORATIO	ORACIO	157	111	70.7
HORATIO	ORACIO	183	111	60.7
HORATIO	ORACIO	209	111	53.1
HORATIO	ORACIO	235	111	47.2
HORATIO	ORACIO	261	111	42.5
HORATIO	HORACIO	0	0	0
HORATIO	HORACIO	54	54	100
HORATIO	HORACIO	108	108	100
HORATIO	HORACIO	162	111	68.5
HORATIO	HORACIO	216	111	51.4
HORATIO	HORACIO	270	111	41.1
HORATIO	HORACIO	324	111	34.3
HORATIO	HORACIO	378	111	29.4
HORATIO	HORACIO	431	111	25.8
HORATIO	HORACIO	485	111	22.9
HORATIO	HORACIO	539	111	20.6
HORATIO	OREITIO	0	0	0
HORATIO	OREITIO	27	27	100
HORATIO	OREITIO	54	54	100
HORATIO	OREITIO	81	78	96.3
HORATIO	OREITIO	109	105	96.3
HORATIO	OREITIO	136	111	81.6
HORATIO	OREITIO	163	111	68.1
HORATIO	OREITIO	191	111	58.1
HORATIO	OREITIO	218	111	50.9
HORATIO	OREITIO	245	111	45.3
HORATIO	OREITIO	272	111	40.8
MARCELLUS	MARCEL	0	0	0
MARCELLUS	MARCEL	6	6	100
MARCELLUS	MARCEL	12	12	100
MARCELLUS	MARCEL	18	18	100
MARCELLUS	MARCEL	24	24	100
MARCELLUS	MARCEL	31	31	100
MARCELLUS	MARCEL	37	36	97.3
MARCELLUS	MARCEL	43	36	83.7
MARCELLUS	MARCEL	49	36	73.5
MARCELLUS	MARCEL	55	36	65.5
MARCELLUS	MARCEL	61	36	59
MARCELLUS	MARCELO	0	0	0
MARCELLUS	MARCELO	22	22	100
MARCELLUS	MARCELO	44	36	81.8
MARCELLUS	MARCELO	66	36	54.5
MARCELLUS	MARCELO	88	36	40.9
MARCELLUS	MARCELO	110	36	32.7
MARCELLUS	MARCELO	132	36	27.3
MARCELLUS	MARCELO	154	36	23.4
MARCELLUS	MARCELO	176	36	20.5
MARCELLUS	MARCELO	198	36	18.2
MARCELLUS	MARCELO	220	36	16.4
ACT	ACT	0	0	0
ACT	ACT	46	0	0
ACT	ACT	92	0	0
ACT	ACT	138	0	0
ACT	ACT	184	0	0
ACT	ACT	230	0	0
ACT	ACT	276	0	0
ACT	ACT	322	0	0
ACT	ACT	368	0	0
ACT	ACT	414	0	0
ACT	ACT	460	0	0
ACT	ACTO	0	0	0
ACT	ACTO	20	0	0
ACT	ACTO	40	0	0
ACT	ACTO	61	0	0
ACT	ACTO	81	0	0
ACT	ACTO	102	0	0
ACT	ACTO	122	0	0
ACT	ACTO	142	0	0
ACT	ACTO	163	0	0
ACT	ACTO	183	0	0
ACT	ACTO	203	0	0
ACT	ATO	0	0	0
ACT	ATO	20	0	0
ACT	ATO	40	0	0
ACT	ATO	60	0	0
ACT	ATO	80	0	0
ACT	ATO	101	0	0
ACT	ATO	121	0	0
ACT	ATO	141	0	0
ACT	ATO	161	0	0
ACT	ATO	181	0	0
ACT	ATO	201	0	0
QUEEN GERTRUDE	GERTRUDES	0	0	0
QUEEN GERTRUDE	GERTRUDES	50	50	100
QUEEN GERTRUDE	GERTRUDES	100	68	68
QUEEN GERTRUDE	GERTRUDES	151	68	45
QUEEN GERTRUDE	GERTRUDES	201	68	33.8
QUEEN GERTRUDE	GERTRUDES	252	68	27
QUEEN GERTRUDE	GERTRUDES	302	68	22.5
QUEEN GERTRUDE	GERTRUDES	352	68	19.3
QUEEN GERTRUDE	GERTRUDES	403	68	16.9
QUEEN GERTRUDE	GERTRUDES	453	68	15
QUEEN GERTRUDE	GERTRUDES	503	68	13.5
QUEEN GERTRUDE	GERTRUD	0	0	0
QUEEN GERTRUDE	GERTRUD	21	21	100
QUEEN GERTRUDE	GERTRUD	43	43	100
QUEEN GERTRUDE	GERTRUD	65	65	100
QUEEN GERTRUDE	GERTRUD	86	68	79.1
QUEEN GERTRUDE	GERTRUD	108	68	63
QUEEN GERTRUDE	GERTRUD	130	68	52.3
QUEEN GERTRUDE	GERTRUD	151	68	45
QUEEN GERTRUDE	GERTRUD	173	68	39.3
QUEEN GERTRUDE	GERTRUD	195	68	34.9
QUEEN GERTRUDE	GERTRUD	216	68	31.5
QUEEN GERTRUDE	RAINHA GERTRUDES	0	0	0
QUEEN GERTRUDE	RAINHA GERTRUDES	52	50	96.2
QUEEN GERTRUDE	RAINHA GERTRUDES	105	69	65.7
QUEEN GERTRUDE	RAINHA GERTRUDES	158	69	43.7
QUEEN GERTRUDE	RAINHA GERTRUDES	211	69	32.7
QUEEN GERTRUDE	RAINHA GERTRUDES	264	69	26.1
QUEEN GERTRUDE	RAINHA GERTRUDES	317	69	21.8
QUEEN GERTRUDE	RAINHA GERTRUDES	370	69	18.6
QUEEN GERTRUDE	RAINHA GERTRUDES	423	69	16.3
QUEEN GERTRUDE	RAINHA GERTRUDES	476	69	14.5
QUEEN GERTRUDE	RAINHA GERTRUDES	528	69	13.1
